antibiotic	num_obs	res_prop	lab_derived_prop	train_prop	val_prop	n_fold	fit_penalty	fit_mixture	f1_score	log2_apop	bal_acc	mcc	date	bug	model	model_scale	model_drug	model_data	model_colors	model_shapes
trimethoprim/sulfonamides	3317	0.67	1	0.6	0.2	NA	0.04641588834	0.2	0.92	0.55	0.88	0.88	2025-05-23	Kpn	gene_all_struct_class	gene	drug_class	all_genomic_context	#e6ab02	23
amikacin	694	0.18	1	0.6	0.2	NA	0.04641588834	0.2	0.62	1.92	0.74	0.78	2025-05-22	Pae	gene_all_struct	gene	drug	all_genomic_context	#e6ab02	23
aztreonam	217	0.49	1	0.6	0.2	NA	1.00E-04	0	0.67	0.67	0.69	0.69	2025-05-22	Pae	gene_all_struct	gene	drug	all_genomic_context	#e6ab02	23
cefepime	254	0.47	1	0.6	0.2	NA	0.1	1	0.67	0.3	0.67	0.67	2025-05-22	Pae	gene_all_struct	gene	drug	all_genomic_context	#e6ab02	23
ceftazidime	829	0.46	1	0.6	0.2	NA	0.004641588834	0.8	0.67	0.74	0.7	0.7	2025-05-22	Pae	gene_all_struct	gene	drug	all_genomic_context	#e6ab02	23
ceftazidime/avibactam	282	0.46	1	0.6	0.2	NA	0.04641588834	0.4	0.74	0.87	0.78	0.79	2025-05-22	Pae	gene_all_struct	gene	drug	all_genomic_context	#e6ab02	23
ceftolozane/tazobactam	235	0.53	1	0.6	0.2	NA	0.04641588834	0.8	0.79	0.76	0.77	0.77	2025-05-22	Pae	gene_all_struct	gene	drug	all_genomic_context	#e6ab02	23
ciprofloxacin	677	0.54	1	0.6	0.2	NA	1.00E-04	0	0.76	0.74	0.75	0.75	2025-05-22	Pae	gene_all_struct	gene	drug	all_genomic_context	#e6ab02	23
doripenem	68	0.71	1	0.6	0.2	NA	0.0215443469	0.4	0.87	0.23	0.62	0.72	2025-05-22	Pae	gene_all_struct	gene	drug	all_genomic_context	#e6ab02	23
gentamicin	365	0.27	1	0.6	0.2	NA	0.01	1	0.68	1.29	0.78	0.78	2025-05-22	Pae	gene_all_struct	gene	drug	all_genomic_context	#e6ab02	23
imipenem	449	0.51	1	0.6	0.2	NA	1.00E-04	0.6	0.76	0.67	0.75	0.75	2025-05-22	Pae	gene_all_struct	gene	drug	all_genomic_context	#e6ab02	23
levofloxacin	684	0.47	1	0.6	0.2	NA	1.00E-04	0.2	0.75	0.84	0.78	0.79	2025-05-22	Pae	gene_all_struct	gene	drug	all_genomic_context	#e6ab02	23
meropenem	835	0.55	1	0.6	0.2	NA	0.01	0.8	0.68	0.49	0.67	0.67	2025-05-22	Pae	gene_all_struct	gene	drug	all_genomic_context	#e6ab02	23
piperacillin	143	0.17	1	0.6	0.2	NA	1.00E-04	0	0	-0.63	0.46	0.46	2025-05-22	Pae	gene_all_struct	gene	drug	all_genomic_context	#e6ab02	23
piperacillin/tazobactam	214	0.39	1	0.6	0.2	NA	1.00E-04	0	0.74	1.16	0.79	0.84	2025-05-22	Pae	gene_all_struct	gene	drug	all_genomic_context	#e6ab02	23
tobramycin	606	0.29	1	0.6	0.2	NA	1.00E-04	0	0.78	1.53	0.82	0.87	2025-05-22	Pae	gene_all_struct	gene	drug	all_genomic_context	#e6ab02	23
aminoglycosides	1059	0.33	1	0.6	0.2	NA	1.00E-04	0.4	0.76	1.42	0.81	0.84	2025-05-21	Pae	gene_all_struct_class	gene	drug_class	all_genomic_context	#e6ab02	23
carbapenems	1068	0.54	1	0.6	0.2	NA	1.00E-04	0.4	0.76	0.65	0.74	0.74	2025-05-21	Pae	gene_all_struct_class	gene	drug_class	all_genomic_context	#e6ab02	23
cephalosporins	261	0.49	1	0.6	0.2	NA	0.04641588834	0.6	0.54	0.43	0.58	0.58	2025-05-21	Pae	gene_all_struct_class	gene	drug_class	all_genomic_context	#e6ab02	23
fluoroquinolones	1011	0.52	1	0.6	0.2	NA	0.04641588834	0.2	0.72	0.71	0.73	0.73	2025-05-21	Pae	gene_all_struct_class	gene	drug_class	all_genomic_context	#e6ab02	23
monobactams	217	0.49	1	0.6	0.2	NA	1.00E-04	0	0.67	0.67	0.69	0.69	2025-05-21	Pae	gene_all_struct_class	gene	drug_class	all_genomic_context	#e6ab02	23
penicillins	244	0.52	1	0.6	0.2	NA	1.00E-04	0	0.94	0.88	0.94	0.94	2025-05-21	Pae	gene_all_struct_class	gene	drug_class	all_genomic_context	#e6ab02	23
penicillins/beta-lactamase-inhibitor	218	0.41	1	0.6	0.2	NA	1.00E-04	0	0.75	1.09	0.79	0.81	2025-05-21	Pae	gene_all_struct_class	gene	drug_class	all_genomic_context	#e6ab02	23
polymyxin	557	0.02	1	0.6	0.2	NA	1.00E-04	0.2	0	-Inf	0.5	0.5	2025-05-21	Pae	gene_all_struct_class	gene	drug_class	all_genomic_context	#e6ab02	23
amoxicillin/clavulanic acid	18	0.5	1	0.6	0.2	NA	1.00E-04	0	0.5	-0.25	0.5	0.5	2025-05-19	Sau	gene_all_struct	gene	drug	all_genomic_context	#e6ab02	23
cefoxitin	1034	0.78	1	0.6	0.2	NA	1.00E-04	0	0.99	0.36	0.98	0.99	2025-05-19	Sau	gene_all_struct	gene	drug	all_genomic_context	#e6ab02	23
chloramphenicol	784	0.04	1	0.6	0.2	NA	1.00E-04	0.6	0.8	4.46	0.9	0.9	2025-05-19	Sau	gene_all_struct	gene	drug	all_genomic_context	#e6ab02	23
ciprofloxacin	2209	0.46	1	0.6	0.2	NA	1.00E-04	0.2	0.87	1.05	0.88	0.89	2025-05-19	Sau	gene_all_struct	gene	drug	all_genomic_context	#e6ab02	23
clindamycin	1086	0.38	1	0.6	0.2	NA	0.0215443469	1	0.87	1.32	0.89	0.9	2025-05-19	Sau	gene_all_struct	gene	drug	all_genomic_context	#e6ab02	23
erythromycin	2351	0.37	1	0.6	0.2	NA	0.0215443469	0.8	0.81	1.3	0.85	0.85	2025-05-19	Sau	gene_all_struct	gene	drug	all_genomic_context	#e6ab02	23
florfenicol	17	0.53	1	0.6	0.2	NA	1.00E-04	0	1	0.92	1	1	2025-05-19	Sau	gene_all_struct	gene	drug	all_genomic_context	#e6ab02	23
fusidic acid	1956	0.15	1	0.6	0.2	NA	0.04641588834	0.4	0.84	2.49	0.87	0.92	2025-05-19	Sau	gene_all_struct	gene	drug	all_genomic_context	#e6ab02	23
gentamicin	2382	0.12	1	0.6	0.2	NA	1.00E-04	0.4	0.9	2.95	0.93	0.94	2025-05-19	Sau	gene_all_struct	gene	drug	all_genomic_context	#e6ab02	23
kanamycin	58	0.31	1	0.6	0.2	NA	1.00E-04	0	1	1.69	1	1	2025-05-19	Sau	gene_all_struct	gene	drug	all_genomic_context	#e6ab02	23
levofloxacin	281	0.1	1	0.6	0.2	NA	1.00E-04	0	0.5	3.12	0.67	0.77	2025-05-19	Sau	gene_all_struct	gene	drug	all_genomic_context	#e6ab02	23
methicillin	1898	0.58	1	0.6	0.2	NA	1.00E-04	0.4	0.99	0.79	0.98	0.98	2025-05-19	Sau	gene_all_struct	gene	drug	all_genomic_context	#e6ab02	23
mupirocin	1292	0.03	1	0.6	0.2	NA	0.04641588834	0.4	0.5	4.06	0.75	0.75	2025-05-19	Sau	gene_all_struct	gene	drug	all_genomic_context	#e6ab02	23
oxacillin	610	0.24	1	0.6	0.2	NA	0.04641588834	0.6	0.86	1.97	0.92	0.91	2025-05-19	Sau	gene_all_struct	gene	drug	all_genomic_context	#e6ab02	23
penicillin	1358	0.88	1	0.6	0.2	NA	0.0215443469	1	0.98	0.17	0.9	0.91	2025-05-19	Sau	gene_all_struct	gene	drug	all_genomic_context	#e6ab02	23
rifampin	1990	0.02	1	0.6	0.2	NA	1.00E-04	0	NA	0	0.5	NA	2025-05-19	Sau	gene_all_struct	gene	drug	all_genomic_context	#e6ab02	23
tetracycline	1992	0.17	1	0.6	0.2	NA	0.004641588834	1	0.8	2.32	0.86	0.88	2025-05-19	Sau	gene_all_struct	gene	drug	all_genomic_context	#e6ab02	23
tiamulin	17	0.59	1	0.6	0.2	NA	1.00E-04	0	1	0.76	1	1	2025-05-19	Sau	gene_all_struct	gene	drug	all_genomic_context	#e6ab02	23
tigecycline	21	0.48	1	0.6	0.2	NA	1.00E-04	0.2	1	1.06	1	1	2025-05-19	Sau	gene_all_struct	gene	drug	all_genomic_context	#e6ab02	23
tobramycin	62	0.29	1	0.6	0.2	NA	1.00E-04	0	1	1.79	1	1	2025-05-19	Sau	gene_all_struct	gene	drug	all_genomic_context	#e6ab02	23
trimethoprim	559	0.04	1	0.6	0.2	NA	1.00E-04	0.2	0.5	2.17	0.74	0.74	2025-05-19	Sau	gene_all_struct	gene	drug	all_genomic_context	#e6ab02	23
