antibiotic	num_obs	res_prop	lab_derived_prop	train_prop	val_prop	n_fold	fit_penalty	fit_mixture	f1_score	log2_apop	bal_acc	mcc	date	bug	model	model_scale	model_drug	model_data	model_colors	model_shapes
amphenicols	15	0.47	1	0.6	0.2	NA	1.00E-04	0	0.8	0.75	0.75	0.79	2025-05-20	Esp.	gene_all_struct_class	gene	drug_class	all_genomic_context	#e6ab02	23
carbapenems	257	0.83	1	0.6	0.2	NA	0.1	1	0.87	0.02	0.5	NA	2025-05-20	Esp.	gene_all_struct_class	gene	drug_class	all_genomic_context	#e6ab02	23
fluoroquinolones	117	0.62	1	0.6	0.2	NA	1.00E-04	0.8	0.85	0.66	0.74	0.77	2025-05-20	Esp.	gene_all_struct_class	gene	drug_class	all_genomic_context	#e6ab02	23
tetracyclines	163	0.35	1	0.6	0.2	NA	1.00E-04	1	0.33	-0.18	0.48	0.48	2025-05-20	Esp.	gene_all_struct_class	gene	drug_class	all_genomic_context	#e6ab02	23
trimethoprim/sulfonamides	89	0.53	1	0.6	0.2	NA	0.04641588834	0.8	0.86	0.86	0.84	0.84	2025-05-20	Esp.	gene_all_struct_class	gene	drug_class	all_genomic_context	#e6ab02	23
amikacin	2664	0.16	1	0.6	0.2	NA	0.004641588834	0.6	0.74	2.38	0.83	0.85	2025-05-24	Kpn	gene_all_struct	gene	drug	all_genomic_context	#e6ab02	23
aminogycosides	127	0.61	1	0.6	0.2	NA	0.1	0.8	0.97	0.68	0.97	0.96	2025-05-24	Kpn	gene_all_struct	gene	drug	all_genomic_context	#e6ab02	23
amoxicillin/clavulanic acid	864	0.79	1	0.6	0.2	NA	1.00E-04	0	0.96	0.33	0.86	0.89	2025-05-24	Kpn	gene_all_struct	gene	drug	all_genomic_context	#e6ab02	23
ampicillin/sulbactam	1897	0.87	1	0.6	0.2	NA	1.00E-04	0	0.95	0.2	0.75	0.81	2025-05-24	Kpn	gene_all_struct	gene	drug	all_genomic_context	#e6ab02	23
aztreonam	2289	0.82	1	0.6	0.2	NA	1.00E-04	0	0.93	0.24	0.77	0.81	2025-05-24	Kpn	gene_all_struct	gene	drug	all_genomic_context	#e6ab02	23
beta-lactam	127	0.66	1	0.6	0.2	NA	0.1	0.6	0.94	0.58	0.92	0.92	2025-05-24	Kpn	gene_all_struct	gene	drug	all_genomic_context	#e6ab02	23
